participant_id,subject_id,trajectory_id,trial_id,response,feedback,episode_start,split
sub_000010,sub_000010,traj_002963,0,0,0.45,1,heldout
sub_000010,sub_000010,traj_002963,1,3,0.58,0,heldout
sub_000010,sub_000010,traj_002963,2,1,0.49,0,heldout
sub_000010,sub_000010,traj_002963,3,0,0.43,0,heldout
sub_000010,sub_000010,traj_002963,4,2,0.2,0,heldout
sub_000010,sub_000010,traj_002963,5,2,0.15,0,heldout
sub_000010,sub_000010,traj_002963,6,1,0.47,0,heldout
sub_000010,sub_000010,traj_002963,7,1,0.56,0,heldout
sub_000010,sub_000010,traj_002963,8,1,0.56,0,heldout
sub_000010,sub_000010,traj_002963,9,0,0.49,0,heldout
sub_000010,sub_000010,traj_002963,10,1,0.55,0,heldout
sub_000010,sub_000010,traj_002963,11,1,0.57,0,heldout
sub_000010,sub_000010,traj_002963,12,1,0.66,0,heldout
sub_000010,sub_000010,traj_002963,13,1,0.61,0,heldout
sub_000010,sub_000010,traj_002963,14,1,0.63,0,heldout
sub_000010,sub_000010,traj_002963,15,1,0.64,0,heldout
sub_000010,sub_000010,traj_002963,16,1,0.71,0,heldout
sub_000010,sub_000010,traj_002963,17,2,0.26,0,heldout
sub_000010,sub_000010,traj_002963,18,2,0.26,0,heldout
sub_000010,sub_000010,traj_002963,19,1,0.6,0,heldout
sub_000010,sub_000010,traj_002963,20,1,0.6,0,heldout
sub_000010,sub_000010,traj_002963,21,1,0.61,0,heldout
sub_000010,sub_000010,traj_002963,22,1,0.56,0,heldout
sub_000010,sub_000010,traj_002963,23,1,0.51,0,heldout
sub_000010,sub_000010,traj_002963,24,1,0.62,0,heldout
sub_000010,sub_000010,traj_002963,25,2,0.25,0,heldout
sub_000010,sub_000010,traj_002963,26,1,0.68,0,heldout
sub_000010,sub_000010,traj_002963,27,1,0.63,0,heldout
sub_000010,sub_000010,traj_002963,28,1,0.67,0,heldout
sub_000010,sub_000010,traj_002963,29,1,0.68,0,heldout
sub_000010,sub_000010,traj_002963,30,1,0.68,0,heldout
sub_000010,sub_000010,traj_002963,31,1,0.61,0,heldout
sub_000010,sub_000010,traj_002963,32,2,0.34,0,heldout
sub_000010,sub_000010,traj_002963,33,1,0.75,0,heldout
sub_000010,sub_000010,traj_002963,34,1,0.72,0,heldout
sub_000010,sub_000010,traj_002963,35,1,0.65,0,heldout
sub_000010,sub_000010,traj_002963,36,1,0.85,0,heldout
sub_000010,sub_000010,traj_002963,37,1,0.76,0,heldout
sub_000010,sub_000010,traj_002963,38,1,0.78,0,heldout
sub_000010,sub_000010,traj_002963,39,1,0.78,0,heldout
sub_000010,sub_000010,traj_002963,40,1,0.75,0,heldout
sub_000010,sub_000010,traj_002963,41,1,0.77,0,heldout
sub_000010,sub_000010,traj_002963,42,1,0.73,0,heldout
sub_000010,sub_000010,traj_002963,43,1,0.77,0,heldout
sub_000010,sub_000010,traj_002963,44,1,0.7,0,heldout
sub_000010,sub_000010,traj_002963,45,1,0.67,0,heldout
sub_000010,sub_000010,traj_002963,46,1,0.81,0,heldout
sub_000010,sub_000010,traj_002963,47,1,0.8,0,heldout
sub_000010,sub_000010,traj_002963,48,1,0.85,0,heldout
sub_000010,sub_000010,traj_002963,49,1,0.76,0,heldout
sub_000010,sub_000010,traj_002963,50,1,0.71,0,heldout
sub_000010,sub_000010,traj_002963,51,1,0.74,0,heldout
sub_000010,sub_000010,traj_002963,52,0,0.34,0,heldout
sub_000010,sub_000010,traj_002963,53,1,0.74,0,heldout
