subject_id,participant_id,trajectory_id,split,trial_id,response,feedback,reward_0,reward_1,reward_2,reward_3
subject_00,panel_000,panel_000,train,0,3,0.9,0.97,0.39,0.09,0.9
subject_00,panel_000,panel_000,train,1,3,0.92,0.95,0.39,0.04,0.92
subject_00,panel_000,panel_000,train,2,3,0.91,0.88,0.52,0.02,0.91
subject_00,panel_000,panel_000,train,3,3,0.91,0.98,0.5,0.05,0.91
subject_00,panel_000,panel_000,train,4,0,0.91,0.91,0.56,0.05,0.9
subject_00,panel_000,panel_000,train,5,0,0.97,0.97,0.59,0.11,0.85
subject_00,panel_000,panel_000,train,6,1,0.58,0.85,0.58,0.13,0.85
subject_00,panel_000,panel_000,train,7,0,0.81,0.81,0.61,0.16,0.87
subject_00,panel_000,panel_000,train,8,0,0.87,0.87,0.57,0.12,0.93
subject_00,panel_000,panel_000,train,9,2,0.06,0.82,0.72,0.06,0.89
subject_00,panel_000,panel_000,train,10,3,0.9,0.82,0.67,0.02,0.9
subject_00,panel_000,panel_000,train,11,0,0.89,0.89,0.67,0.04,0.91
subject_00,panel_000,panel_000,train,12,3,0.9,0.74,0.64,0.1,0.9
subject_00,panel_000,panel_000,train,13,0,0.75,0.75,0.66,0.17,0.93
subject_00,panel_000,panel_000,train,14,3,0.92,0.75,0.58,0.05,0.92
subject_00,panel_000,panel_000,train,15,0,0.83,0.83,0.6,0.11,0.94
subject_00,panel_000,panel_000,train,16,3,0.99,0.8,0.67,0.04,0.99
subject_00,panel_000,panel_000,train,17,0,0.77,0.77,0.62,0.15,0.96
subject_00,panel_000,panel_000,train,18,3,0.9,0.75,0.71,0.13,0.9
subject_00,panel_000,panel_000,train,19,0,0.8,0.8,0.54,0.08,0.95
subject_00,panel_000,panel_000,train,20,3,0.93,0.8,0.55,0.11,0.93
subject_00,panel_000,panel_000,train,21,0,0.77,0.77,0.59,0.04,0.93
subject_00,panel_000,panel_000,train,22,3,0.99,0.85,0.63,0.07,0.99
subject_00,panel_000,panel_000,train,23,0,0.81,0.81,0.55,0.14,0.97
subject_00,panel_000,panel_000,train,24,0,0.73,0.73,0.54,0.15,0.94
subject_00,panel_000,panel_000,train,25,3,0.96,0.62,0.55,0.14,0.96
subject_00,panel_000,panel_000,train,26,3,0.88,0.65,0.44,0.13,0.88
subject_00,panel_000,panel_000,train,27,3,0.97,0.66,0.53,0.09,0.97
subject_00,panel_000,panel_000,train,28,3,0.87,0.62,0.43,0.06,0.87
subject_00,panel_000,panel_000,train,29,3,0.85,0.6,0.47,0.08,0.85
subject_00,panel_000,panel_000,train,30,3,0.84,0.69,0.58,0.17,0.84
subject_00,panel_000,panel_000,train,31,0,0.69,0.69,0.66,0.09,0.94
subject_00,panel_000,panel_000,train,32,3,0.88,0.74,0.64,0.17,0.88
subject_00,panel_000,panel_000,train,33,3,0.95,0.72,0.61,0.16,0.95
subject_00,panel_000,panel_000,train,34,3,0.9,0.66,0.67,0.17,0.9
subject_00,panel_000,panel_000,train,35,3,0.93,0.67,0.73,0.09,0.93
subject_00,panel_000,panel_000,train,36,3,0.93,0.6,0.77,0.17,0.93
subject_00,panel_000,panel_000,train,37,3,0.89,0.65,0.61,0.07,0.89
subject_00,panel_000,panel_000,train,38,3,0.84,0.68,0.62,0.08,0.84
subject_00,panel_000,panel_000,train,39,3,0.81,0.69,0.55,0.03,0.81
subject_00,panel_000,panel_000,train,40,3,0.86,0.65,0.68,0.03,0.86
subject_00,panel_000,panel_000,train,41,3,0.77,0.65,0.62,0.04,0.77
subject_00,panel_000,panel_000,train,42,3,0.8,0.67,0.58,0.06,0.8
subject_00,panel_000,panel_000,train,43,0,0.64,0.64,0.64,0.04,0.8
subject_00,panel_000,panel_000,train,44,3,0.82,0.65,0.67,0.1,0.82
subject_00,panel_000,panel_000,train,45,3,0.72,0.7,0.74,0.12,0.72
subject_00,panel_000,panel_000,train,46,3,0.78,0.67,0.77,0.12,0.78
subject_00,panel_000,panel_000,train,47,3,0.61,0.72,0.77,0.12,0.61
subject_00,panel_000,panel_000,train,48,0,0.69,0.69,0.84,0.15,0.7
subject_00,panel_000,panel_000,train,49,3,0.72,0.8,0.71,0.09,0.72
subject_00,panel_000,panel_000,train,50,3,0.7,0.7,0.74,0.16,0.7
subject_00,panel_000,panel_000,train,51,2,0.16,0.75,0.76,0.16,0.66
subject_00,panel_000,panel_000,train,52,1,0.73,0.78,0.73,0.24,0.59
subject_00,panel_000,panel_000,train,53,1,0.66,0.74,0.66,0.21,0.68
subject_00,panel_000,panel_000,train,54,0,0.77,0.77,0.65,0.26,0.61
subject_00,panel_000,panel_000,train,55,3,0.74,0.74,0.62,0.33,0.74
subject_00,panel_000,panel_000,train,56,0,0.73,0.73,0.66,0.24,0.76
subject_00,panel_000,panel_000,train,57,1,0.54,0.72,0.54,0.27,0.72
subject_00,panel_000,panel_000,train,58,3,0.73,0.64,0.62,0.22,0.73
subject_00,panel_000,panel_000,train,59,0,0.71,0.71,0.59,0.18,0.77
subject_00,panel_000,panel_000,train,60,3,0.76,0.62,0.62,0.14,0.76
subject_00,panel_000,panel_000,train,61,3,0.78,0.79,0.66,0.18,0.78
subject_00,panel_000,panel_000,train,62,3,0.73,0.78,0.69,0.08,0.73
subject_00,panel_000,panel_000,train,63,3,0.77,0.74,0.68,0.17,0.77
subject_00,panel_000,panel_000,train,64,0,0.78,0.78,0.6,0.16,0.77
subject_00,panel_000,panel_000,train,65,0,0.65,0.65,0.75,0.19,0.79
subject_00,panel_000,panel_000,train,66,3,0.74,0.69,0.69,0.13,0.74
subject_00,panel_000,panel_000,train,67,1,0.65,0.77,0.65,0.19,0.76
subject_00,panel_000,panel_000,train,68,1,0.68,0.71,0.68,0.22,0.82
