trajectory_id,trial_id,action,latent_reward
traj_000023,0,0,0.87
traj_000023,0,1,0.64
traj_000023,0,2,0.81
traj_000023,0,3,0.45
traj_000023,1,0,0.96
traj_000023,1,1,0.65
traj_000023,1,2,0.82
traj_000023,1,3,0.49
traj_000023,2,0,0.98
traj_000023,2,1,0.54
traj_000023,2,2,0.81
traj_000023,2,3,0.41
traj_000023,3,0,0.91
traj_000023,3,1,0.54
traj_000023,3,2,0.82
traj_000023,3,3,0.36
traj_000023,4,0,0.88
traj_000023,4,1,0.59
traj_000023,4,2,0.79
traj_000023,4,3,0.38
traj_000023,5,0,0.98
traj_000023,5,1,0.75
traj_000023,5,2,0.79
traj_000023,5,3,0.37
traj_000023,6,0,0.91
traj_000023,6,1,0.65
traj_000023,6,2,0.84
traj_000023,6,3,0.36
traj_000023,7,0,0.95
traj_000023,7,1,0.66
traj_000023,7,2,0.78
traj_000023,7,3,0.31
traj_000023,8,0,0.95
traj_000023,8,1,0.7
traj_000023,8,2,0.76
traj_000023,8,3,0.34
traj_000023,9,0,0.97
traj_000023,9,1,0.64
traj_000023,9,2,0.75
traj_000023,9,3,0.4
traj_000023,10,0,0.93
traj_000023,10,1,0.76
traj_000023,10,2,0.81
traj_000023,10,3,0.35
traj_000023,11,0,0.97
traj_000023,11,1,0.77
traj_000023,11,2,0.89
traj_000023,11,3,0.45
traj_000023,12,0,0.85
traj_000023,12,1,0.65
traj_000023,12,2,0.8
traj_000023,12,3,0.34
traj_000023,13,0,0.87
traj_000023,13,1,0.73
traj_000023,13,2,0.76
traj_000023,13,3,0.38
traj_000023,14,0,0.86
traj_000023,14,1,0.81
traj_000023,14,2,0.79
traj_000023,14,3,0.42
traj_000023,15,0,0.95
traj_000023,15,1,0.77
traj_000023,15,2,0.77
traj_000023,15,3,0.41
traj_000023,16,0,0.97
traj_000023,16,1,0.79
traj_000023,16,2,0.75
traj_000023,16,3,0.33
traj_000023,17,0,0.94
traj_000023,17,1,0.78
traj_000023,17,2,0.78
traj_000023,17,3,0.41
traj_000023,18,0,0.94
traj_000023,18,1,0.8
traj_000023,18,2,0.72
traj_000023,18,3,0.46
traj_000023,19,0,0.98
traj_000023,19,1,0.73
traj_000023,19,2,0.74
traj_000023,19,3,0.42
traj_000023,20,0,0.89
traj_000023,20,1,0.66
traj_000023,20,2,0.67
traj_000023,20,3,0.45
traj_000023,21,0,0.93
traj_000023,21,1,0.77
traj_000023,21,2,0.66
traj_000023,21,3,0.49
traj_000023,22,0,0.9
traj_000023,22,1,0.7
traj_000023,22,2,0.71
traj_000023,22,3,0.43
traj_000023,23,0,0.98
traj_000023,23,1,0.67
traj_000023,23,2,0.65
traj_000023,23,3,0.43
traj_000023,24,0,0.96
traj_000023,24,1,0.72
