participant_id,subject_id,trajectory_id,trial_id,response,feedback,episode_start,rt_ms,rt,trial_mask,masking_reason,split
sub_000010,sub_000010,traj_002481,0,0,0.8,1,1725.0,1.725,1,included,train
sub_000010,sub_000010,traj_002481,1,0,0.72,0,66.0,1.0,0,below_100_ms,train
sub_000010,sub_000010,traj_002481,2,0,0.7,0,472.0,0.472,1,included,train
sub_000010,sub_000010,traj_002481,3,0,0.78,0,405.0,0.405,1,included,train
sub_000010,sub_000010,traj_002481,4,0,0.67,0,342.0,0.342,1,included,train
sub_000010,sub_000010,traj_002481,5,0,0.69,0,416.0,0.416,1,included,train
sub_000010,sub_000010,traj_002481,6,0,0.67,0,383.0,0.383,1,included,train
sub_000010,sub_000010,traj_002481,7,0,0.7,0,327.0,0.327,1,included,train
sub_000010,sub_000010,traj_002481,8,0,0.75,0,241.0,0.241,1,included,train
sub_000010,sub_000010,traj_002481,9,0,0.61,0,408.0,0.408,1,included,train
sub_000010,sub_000010,traj_002481,10,0,0.67,0,294.0,0.294,1,included,train
sub_000010,sub_000010,traj_002481,11,0,0.68,0,345.0,0.345,1,included,train
sub_000010,sub_000010,traj_002481,12,0,0.7,0,356.0,0.356,1,included,train
sub_000010,sub_000010,traj_002481,13,0,0.68,0,376.0,0.376,1,included,train
sub_000010,sub_000010,traj_002481,14,0,0.64,0,579.0,0.579,1,included,train
sub_000010,sub_000010,traj_002481,15,0,0.67,0,607.0,0.607,1,included,train
sub_000010,sub_000010,traj_002481,16,0,0.6,0,847.0,0.847,1,included,train
sub_000010,sub_000010,traj_002481,17,0,0.58,0,761.0,0.761,1,included,train
sub_000010,sub_000010,traj_002481,18,0,0.69,0,102.0,0.102,1,included,train
sub_000010,sub_000010,traj_002481,19,1,0.55,0,1015.0,1.015,1,included,train
sub_000010,sub_000010,traj_002481,20,3,0.68,0,376.0,0.376,1,included,train
sub_000010,sub_000010,traj_002481,21,3,0.68,0,74.0,1.0,0,below_100_ms,train
sub_000010,sub_000010,traj_002481,22,3,0.72,0,354.0,0.354,1,included,train
sub_000010,sub_000010,traj_002481,23,3,0.73,0,297.0,0.297,1,included,train
sub_000010,sub_000010,traj_002481,24,3,0.68,0,559.0,0.559,1,included,train
sub_000010,sub_000010,traj_002481,25,3,0.64,0,535.0,0.535,1,included,train
sub_000010,sub_000010,traj_002481,26,3,0.64,0,511.0,0.511,1,included,train
sub_000010,sub_000010,traj_002481,27,3,0.58,0,397.0,0.397,1,included,train
sub_000010,sub_000010,traj_002481,28,3,0.62,0,314.0,0.314,1,included,train
sub_000010,sub_000010,traj_002481,29,3,0.71,0,344.0,0.344,1,included,train
sub_000010,sub_000010,traj_002481,30,3,0.54,0,55.0,1.0,0,below_100_ms,train
sub_000010,sub_000010,traj_002481,31,2,0.41,0,1645.0,1.645,1,included,train
sub_000010,sub_000010,traj_002481,32,1,0.51,0,1212.0,1.212,1,included,train
sub_000010,sub_000010,traj_002481,33,3,0.59,0,613.0,0.613,1,included,train
sub_000010,sub_000010,traj_002481,34,0,0.65,0,390.0,0.39,1,included,train
sub_000010,sub_000010,traj_002481,35,0,0.62,0,607.0,0.607,1,included,train
sub_000010,sub_000010,traj_002481,36,0,0.7,0,457.0,0.457,1,included,train
sub_000010,sub_000010,traj_002481,37,0,0.69,0,600.0,0.6,1,included,train
sub_000010,sub_000010,traj_002481,38,0,0.67,0,381.0,0.381,1,included,train
sub_000010,sub_000010,traj_002481,39,0,0.62,0,460.0,0.46,1,included,train
sub_000010,sub_000010,traj_002481,40,0,0.59,0,328.0,0.328,1,included,train
